year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Laurier,Western,2,Victoria Cowley,3,0,0,1,0.0,1,0,0,2,18,0,0,0,0,0,0
2009,Female,Laurier,Western,3,Alexandra Hyde,2,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0
2009,Female,Laurier,Western,5,Julie Gordon,3,9,3,22,0.273,0,2,1,0,5,1,3,3,0,12,0
2009,Female,Laurier,Western,8,T Andrew-Wasylik,2,3,3,18,0.0,0,1,1,1,4,0,1,0,0,4,0
2009,Female,Laurier,Western,9,Brittany Brunt,1,1,0,3,0.333,7,0,0,0,1,0,1,1,0,1,0
2009,Female,Laurier,Western,10,Amara Ilias,2,5,8,30,-0.1,1,0,0,0,5,0,5,4,1,5,0
2009,Female,Laurier,Western,11,Lauren Carter,3,0,0,5,0.0,19,0,0,0,2,0,0,3,0,0,0
2009,Female,Laurier,Western,13,Megan Gilmore,3,5,0,17,0.294,0,0,0,0,3,0,2,4,2,5,0
2009,Female,Laurier,Western,14,Brittney Hopley,1,0,1,2,-0.5,0,0,1,0,0,0,1,1,0,0,0
2009,Female,Laurier,Western,15,Victoria Altomare,2,2,3,10,-0.1,1,0,0,0,5,0,1,3,0,2,0
2009,Female,Western,Laurier,2,Jenna Thomson,2,1,0,5,0.2,21,0,2,0,6,0,1,0,0,1,0
2009,Female,Western,Laurier,4,Claire Morrow,3,0,0,5,0.0,0,0,0,0,24,0,0,0,0,0,0
2009,Female,Western,Laurier,5,Sarah Johnston,3,8,2,20,0.3,4,2,0,0,3,2,1,3,1,12,0
2009,Female,Western,Laurier,6,Sara Farrell,3,8,1,21,0.333,0,1,1,0,7,1,5,2,0,10,0
2009,Female,Western,Laurier,7,Nicole Smyrnios,1,1,0,2,0.5,10,0,1,0,3,0,3,0,0,1,0
2009,Female,Western,Laurier,10,Sarah Lowry,3,6,1,22,0.227,0,1,1,0,11,0,2,2,0,7,0
2009,Female,Western,Laurier,12,Elaine Screaton,2,5,4,15,0.067,0,0,0,2,6,0,1,0,0,5,0
2009,Female,Western,Laurier,13,Jacqueline Robinson,3,6,5,28,0.036,0,2,3,1,13,1,1,1,0,9,0
2009,Female,Waterloo,York,4,S. Ebreo,4,1,0,1,1.0,34,1,1,0,8,0,1,0,0,2,0
2009,Female,Waterloo,York,5,L. Wilk,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Waterloo,York,6,M. Mckenzie,4,2,2,6,0.0,0,0,1,0,2,1,4,0,0,3,0
2009,Female,Waterloo,York,7,L. Ledas,4,3,2,8,0.125,2,1,2,0,0,1,4,0,0,5,0
2009,Female,Waterloo,York,9,L. Klein,4,13,5,24,0.333,0,1,5,0,8,1,2,0,0,15,0
2009,Female,Waterloo,York,10,K. Spack,4,0,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0
2009,Female,Waterloo,York,11,K. Flanagan,4,9,6,32,0.094,3,1,1,0,13,0,2,0,0,10,0
2009,Female,York,Waterloo,1,Kristina Vlcek,4,11,6,27,0.185,1,1,1,0,18,2,2,0,0,14,0
2009,Female,York,Waterloo,2,Natasha Khan,4,0,3,7,-0.429,0,0,1,0,5,0,0,0,0,0,0
2009,Female,York,Waterloo,4,Stephanie Green,4,7,4,22,0.136,1,1,1,0,6,0,1,0,0,8,0
2009,Female,York,Waterloo,6,Thin Sriskandarajah,4,12,3,33,0.273,1,0,1,0,14,0,1,0,0,12,0
2009,Female,York,Waterloo,8,Gina Morphy,4,0,1,1,-1.0,31,0,1,0,12,0,0,0,0,0,0
2009,Female,York,Waterloo,9,Laura Scull,4,0,0,0,0.0,2,0,0,0,8,0,0,0,0,0,0
2009,Female,York,Waterloo,10,Sarah Sutton,4,10,9,35,0.029,1,2,3,0,10,0,2,0,0,12,0
